response,label
"Hosted a movie marathon at home with friends. Watching a series of favorite films, munching on snacks, and enjoying good company without any stress",Normal
"Today was magical â€“ had my first kiss! The rush of emotions, the sweetness of the moment, it's something I'll carry with me forever. Grateful for this beautiful experience",Normal
I feel like I'm always one step away from financial disaster,Stress
"I'm so tired of feeling like this. It's like I'm trapped in this never-ending cycle of stress and anxiety, and I don't know how to break free",Stress
DIY craft session â€“ creativity and good vibes,Normal
Living paycheck to paycheck is causing me some stress. The constant pressure to stretch my income and cover essential expenses is affecting my peace of mind. It's hard to plan for the future when the present feels financially strained.,Stress
Financial troubles are causing anxiety. The constant worry about bills and expenses is making it hard for me to sleep. I'm irritable and overwhelmed by the uncertainty of my financial situation.,Stress
"Visited a pet shelter. Furry friends, unconditional love, and a heartwarming experience",Normal
"Work is piling up, and I'm short-tempered. Tight deadlines and overwork are causing burnout. I feel overwhelmed, and the constant pressure to meet expectations is affecting my overall well-being.",Stress
Visited a new coffee shop today and tried their specialty brew. It's the little discoveries like these that make life enjoyable.,Normal
"Joined a mindfulness meditation class. The peace, self-awareness, and the practice of living in the present moment have become valuable tools for maintaining happy inner balance",Normal
"Just got accepted into my dream university! The happy news has me over the moon, and I'm ready to embark on this exciting academic journey. Gratitude and excitement are the prevailing emotions right now",Normal
I'm so stressed about not being able to afford the things I need,Stress
I'm so tired of feeling angry all the time. It's like I have this constant knot of frustration in my chest that I can't shake,Stress
"I took on a part-time job to support myself during college, but the stress is taking a toll on my mental health. I'm struggling to manage my time, and the constant pressure to excel academically while working is making me anxious about my future.",Stress
"Today, I completed my first-ever marathon! The sense of accomplishment and the rush of endorphins are beyond words. Proud of the hard work and dedication that led to this incredible achievement",Normal
"Colleagues slack, blame falls on me",Stress
"After a long hiatus, finally booked a ticket to visit my hometown. The thought of reuniting with family, sharing laughter, and creating cherished memories has me counting down the days with pure joy!",Normal
"Struggling to cope, anxiety building",Stress
"Financial instability has pushed me to the edge, and the stress is unbearable. The constant pressure of living paycheck to paycheck, coupled with the fear of a sudden expense, is causing anxiety attacks and sleepless nights.",Stress
I feel like I'm trying to reason my situation though. I'm listing off things that a person would associate success with but I'm not seeing the things I'm failing at. ,Stress
"Went on a camping trip with friends. Sitting around the campfire, sharing stories, and enjoying nature in a stress-free happy environment",Normal
"Spent the day exploring a historical museum. The knowledge gained, the connection with the past, and the appreciation for cultural heritage made it an intellectually stimulating and enjoyable outing",Normal
"I feel like I'm drowning in work. No matter how hard I try, I just can't seem to keep up. It's causing me so much stress and frustration",Stress
"I'm juggling multiple responsibilities at once, and the fatigue is setting in. The burnout is real, and I'm feeling exhausted both mentally and physically. It's like I can't catch a break.",Stress
"Completed a home organization project. The decluttered space, the efficiency, and the sense of order brought a renewed sense of calm and productivity to my daily life",Normal
"Completed a challenging puzzle today. The focus, patience, and the joy of seeing the pieces come together created a therapeutic and satisfying experience",Normal
"The constant pressure to be successful is driving me to the brink of insanity. I feel like I'm trapped in a never-ending race, with no finish line in sight",Stress
"I'm so exhausted from trying to keep up appearances. It feels like I'm constantly wearing a mask, hiding my true feelings behind a facade of smiles and laughter",Stress
"Constant stress, no end in sight",Stress
Went on a spontaneous road trip with friends. Exploring new places and creating memories without a set agenda was incredibly refreshing.,Normal
"Had a delicious dinner with family last night. We shared laughs, stories, and enjoyed each other's company. It was a perfect evening.",Normal
"Celebrated my parents' milestone anniversary today! The love, commitment, and joy shared between them after all these years are truly inspiring. Here's to the enduring power of love!",Normal
Choir practice â€“ singing and positive vibes,Normal
Community garden project â€“ planting and bonding,Normal
I'm so tired of dealing with my family's drama all the time.,Stress
"Visited an art exhibition today and witnessed incredible masterpieces. The beauty, creativity, and inspiration I experienced have ignited a new spark within me. Ready to channel this energy into my own artistic endeavors",Normal
"I'm so tired of feeling like I'm always one step behind. No matter how much effort I put in, it never seems to be enough, and I'm starting to lose hope that things will ever get better",Stress
I'm overjoyed to announce that we're going on a vacation next month!,Normal
"Every time I hear my parents arguing, it feels like a punch to the gut. The constant tension in the house is unbearable, and I just want it to stop",Stress
"Baked a batch of homemade cookies. The sweet aroma, the joy of creating a delicious treat, and the satisfaction of sharing with friends and family added warmth to my day",Normal
Spent an afternoon at a boardwalk amusement park with friends. Riding roller coasters and indulging in carnival treats for a carefree and enjoyable day,Normal
"It's like I'm stuck in a never-ending cycle of stress and anxiety. No matter how hard I try to relax, there's always something else looming over me, waiting to drag me back down",Stress
"Participated in a community charity run. The camaraderie, the sense of purpose, and the joy of contributing to a meaningful cause made it a fulfilling and active day",Normal
"It feels like my parents are always breathing down my neck, expecting perfection in everything I do. Meanwhile, my siblings get a free pass, and I'm left shouldering all the pressure. One wrong move, and it's like the world will come crashing down on me",Stress
"I recently experienced a loss, and the grief is making it difficult for me to concentrate. The sadness and loneliness are taking a toll on my mental health, and I find myself in a constant state of sorrow",Stress
"Attended a live comedy show with friends. Laughter, camaraderie, and good vibes made for an entertaining and stress-free night",Normal
"Finished reading a captivating novel. The immersion, the storytelling, and the joy of getting lost in a good book",Normal
"I had such a happy day today. The weather was nice, and I spent it outdoors soaking up the sunshine",Normal
Spent the day volunteering at a local charity. It feels good to give back to the community and make a positive impact.,Normal
I adopted a rescue pet today! The happiness in those little eyes is melting my heart. Grateful for the opportunity to provide a loving home and make a furry friend a part of my life,Normal
"My job is like a never-ending marathon, with no finish line in sight. From the moment I clock in until the end of the day, I'm bombarded with demands and deadlines. It's relentless, and I'm starting to feel like I'm on the brink of burnout",Stress
I'm 24 and have massive amounts of stress going on with job hunting. I live with parents who are constantly on my back and getting angry with me for not having a job. ,Stress
"Celebrating my pet's birthday today. The joy of companionship, the furry cuddles, and the simple happiness of making my pet feel special",Normal
"Took a scenic bike ride along a nature trail. The fresh air, the rhythmic pedaling, and the connection with the outdoors brought a sense of serenity and rejuvenation",Normal
"Surprised my best friend with concert tickets. The sheer delight on their face, shared anticipation, and a night of unforgettable music ahead",Normal
"The demands of my part-time job and university studies are leaving me feeling isolated. I have little time for socializing or self-care, and the constant pressure to perform in both areas is making me feel lonely and stressed.",Stress
Guess what? The new coffee shop in town is offering free drinks today. Let's grab a cup and enjoy the little joys together!,Normal
I'm experiencing empathy exhaustion from constantly supporting others. The emotional strain is leaving me drained and moody. I can't find the energy to take care of myself amidst all this pressure.,Stress
I don't know how to tell my family about my relationship problems,Stress
"Received a surprise visit from my best friend. Instant smiles, laughter, and a day filled with spontaneous joy",Normal
"Reconnected with a childhood friend after years. The shared laughter, catching up on old stories, and the comfort of an enduring friendship are priceless",Normal
"Organized a themed costume party at home. The creativity, laughter, and the joy of seeing friends embrace the spirit of the theme added a festive and carefree atmosphere",Normal
"Treated myself to a favorite meal. Good food, great mood, instant happiness",Normal
"Volunteered at a local literacy program for children. The shared love for books, the joy of learning, and the connection with young minds made it a heartwarming experience",Normal
I had the most joyful time at the park with my friends. It was pure bliss,Normal
Attended a virtual workshop on a topic of interest. It's refreshing to keep learning and expanding my knowledge.,Normal
"Even though my friends are supportive, I can't help but feel embarrassed about my financial situation. They suggest expensive outings and activities that I can't afford, and I'm left feeling like I'm constantly letting them down. It's a constant source of stress and shame",Stress
I'm elated about the surprise birthday party my friends threw for me. It was a day filled with joy and love,Normal
"At work, it feels like I'm constantly walking on eggshells, afraid to rock the boat. My ideas are dismissed, and my contributions go unnoticed, yet I'm expected to smile and nod along. It's soul-crushing, and I'm starting to wonder if it's worth sacrificing my sanity for",Stress
"Achieved a personal fitness goal today! The discipline and hard work finally paid off, and I'm basking in the sense of accomplishment. Ready to set new challenges and push my limits even further",Normal
"My friends seem to have it all together, and I can't help but feel like I'm falling behind. The constant comparison is causing stress, and I'm worried that I'm not living up to the expectations of my peers.",Stress
"Hosted a virtual game night with friends from different time zones. The technology connecting us, the laughter, and the shared enjoyment of games transcended physical distances",Normal
"I'm so tired of feeling like I'm not good enough. It's like no matter what I do, I can't shake this feeling of inadequacy",Stress
Over the moon because my dad surprised me with the guitar I've always dreamed of! Can't wait to strum some tunes and create music. Feeling incredibly blessed and excited for this musical journey ahead!,Normal
The prospect of my upcoming job interview is daunting. The thought of facing rejection yet again is making it hard to muster any confidence,Stress
"I'm highly stressed due to the precariousness of my financial situation. The constant fear of not being able to afford basic necessities, coupled with the pressure to secure a stable income, is creating a pervasive sense of panic.",Stress
"I'm so exhausted from trying to keep up with everyone else's expectations. It feels like no matter how hard I try, I'm always falling short",Stress
So here we are I'm about to call my job for the second day and beg for a ride or not to get fired.,Stress
"Joined a book club with friends. Discussing literature and exchanging thoughts in a casual setting makes reading even more enjoyable.""",Normal
"Frustration with lack of progress, stagnation",Stress
I don't know how I'm going to make ends meet this month.,Stress
Why does everything always have to go wrong?,Stress
"Spent the weekend with friends, catching up on movies and enjoying good company. It was such a relaxing time.",Normal
"The societal pressure to always present a perfect image is affecting my mental health. The constant need to conform to certain standards is causing depression, and I'm struggling to find authenticity in a world that expects so much.",Stress
Coffee shop discovery â€“ new brews and good talks,Normal
"When I get stressed and angry and blow up, I find myself blaming and cursing God a lot for the situation that has made me angry. Like He has always had it out to get me. Afterwards I feel so stupid and ashamed for my outbursts, usually over very trivial thing. I was diagnosed with severe depression and anxiety disorder however I never told my psych or therapist about this part of me because I just don't like talking about it. I have a child now who is turning 18 mo old, and yesterday I had another big outburst when driving with her due to a stupid road rage issue.",Stress
